state,year,crime_group,crime_subgroup,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen,source_dataset
Arunachal Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,59.0,104,auto_theft
Assam,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,21.0,241.0,545,auto_theft
Bihar,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,260.0,1871,auto_theft
Chandigarh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,119.0,474,auto_theft
Chhattisgarh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,618.0,1684,auto_theft
Dadra & Nagar Haveli,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,16,auto_theft
Daman & Diu,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5.0,22,auto_theft
Delhi,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32.0,774.0,4641,auto_theft
Goa,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,53.0,180,auto_theft
Gujarat,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,500.0,1655.0,7252,auto_theft
Haryana,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94.0,1498.0,4746,auto_theft
Himachal Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,38.0,114,auto_theft
Jammu & Kashmir,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,65.0,221,auto_theft
Jharkhand,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,172.0,1250,auto_theft
Karnataka,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105.0,1573.0,4877,auto_theft
Kerala,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13.0,413.0,1298,auto_theft
Lakshadweep,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,2.0,2,auto_theft
Madhya Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,395.0,1910.0,7864,auto_theft
Maharashtra,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,888.0,2961.0,11189,auto_theft
Manipur,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,6.0,115,auto_theft
Meghalaya,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2.0,45,auto_theft
Mizoram,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,29.0,51,auto_theft
Nagaland,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,21.0,117,auto_theft
Odisha,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34.0,381.0,1525,auto_theft
