state,year,crime_group,crime_subgroup,cases_stolen,value_stolen,cases_recovered,value_recovered,source_dataset
Gujarat,2005,Other heads of Property,6. Other Property,1214,779267815,667,64819027,property_stolen_and_recovered
Haryana,2005,Other heads of Property,6. Other Property,556,443888058,483,442433920,property_stolen_and_recovered
Himachal Pradesh,2005,Other heads of Property,6. Other Property,70,1515813,32,1014313,property_stolen_and_recovered
Jammu & Kashmir,2005,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Jharkhand,2005,Other heads of Property,6. Other Property,146,3645428,65,796738,property_stolen_and_recovered
Karnataka,2005,Other heads of Property,6. Other Property,347,922944183,121,4547720,property_stolen_and_recovered
Kerala,2005,Other heads of Property,6. Other Property,894,84827700,203,335580,property_stolen_and_recovered
Lakshadweep,2005,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2005,Other heads of Property,6. Other Property,646,14183206,242,3372675,property_stolen_and_recovered
Maharashtra,2005,Other heads of Property,6. Other Property,4205,1942171368,1492,54852176,property_stolen_and_recovered
Manipur,2005,Other heads of Property,6. Other Property,20,12380292,1,30000,property_stolen_and_recovered
Meghalaya,2005,Other heads of Property,6. Other Property,19,2048600,7,1888600,property_stolen_and_recovered
Mizoram,2005,Other heads of Property,6. Other Property,32,797650,27,562615,property_stolen_and_recovered
Nagaland,2005,Other heads of Property,6. Other Property,13,1381361,9,135535,property_stolen_and_recovered
Odisha,2005,Other heads of Property,6. Other Property,34,3986000,4,404301,property_stolen_and_recovered
Puducherry,2005,Other heads of Property,6. Other Property,2,19500,1,15000,property_stolen_and_recovered
Punjab,2005,Other heads of Property,6. Other Property,430,62324357,430,62324357,property_stolen_and_recovered
Rajasthan,2005,Other heads of Property,6. Other Property,678,14655640,303,8997411,property_stolen_and_recovered
Sikkim,2005,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Tamil Nadu,2005,Other heads of Property,6. Other Property,74,8564917,55,3667741,property_stolen_and_recovered
Tripura,2005,Other heads of Property,6. Other Property,30,466430,1,5000,property_stolen_and_recovered
Uttar Pradesh,2005,Other heads of Property,6. Other Property,398,58229810,478,133239605,property_stolen_and_recovered
Uttarakhand,2005,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
West Bengal,2005,Other heads of Property,6. Other Property,1420,130840452,678,25154150,property_stolen_and_recovered
Andaman & Nicobar Islands,2006,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Andhra Pradesh,2006,Other heads of Property,6. Other Property,196,8118944,121,5074077,property_stolen_and_recovered
Arunachal Pradesh,2006,Other heads of Property,6. Other Property,16,2521560,5,460300,property_stolen_and_recovered
Assam,2006,Other heads of Property,6. Other Property,528,12511377,253,8789919,property_stolen_and_recovered
Bihar,2006,Other heads of Property,6. Other Property,831,15871447,369,3705035,property_stolen_and_recovered
Chandigarh,2006,Other heads of Property,6. Other Property,131,1658915,73,506830,property_stolen_and_recovered
Chhattisgarh,2006,Other heads of Property,6. Other Property,190,29934621,119,8166953,property_stolen_and_recovered
Dadra & Nagar Haveli,2006,Other heads of Property,6. Other Property,10,4004100,1,1500,property_stolen_and_recovered
Daman & Diu,2006,Other heads of Property,6. Other Property,3,53000,0,0,property_stolen_and_recovered
Delhi,2006,Other heads of Property,6. Other Property,3596,1090188152,2197,11007770,property_stolen_and_recovered
Goa,2006,Other heads of Property,6. Other Property,37,62634507,2,210000,property_stolen_and_recovered
Gujarat,2006,Other heads of Property,6. Other Property,1193,318593513,722,11501866,property_stolen_and_recovered
Haryana,2006,Other heads of Property,6. Other Property,669,24550879,557,22351111,property_stolen_and_recovered
Himachal Pradesh,2006,Other heads of Property,6. Other Property,54,3772554,33,1124739,property_stolen_and_recovered
Jammu & Kashmir,2006,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Jharkhand,2006,Other heads of Property,6. Other Property,426,11524001,108,4030873,property_stolen_and_recovered
Karnataka,2006,Other heads of Property,6. Other Property,367,64316165,70,16481479,property_stolen_and_recovered
Kerala,2006,Other heads of Property,6. Other Property,606,124937068,72,7654935,property_stolen_and_recovered
Lakshadweep,2006,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2006,Other heads of Property,6. Other Property,859,346561205,427,36884131,property_stolen_and_recovered
Maharashtra,2006,Other heads of Property,6. Other Property,4189,2545626471,1775,173366171,property_stolen_and_recovered
Manipur,2006,Other heads of Property,6. Other Property,151,10188437,17,819105,property_stolen_and_recovered
Meghalaya,2006,Other heads of Property,6. Other Property,10,535365,1,2000,property_stolen_and_recovered
Mizoram,2006,Other heads of Property,6. Other Property,14,1563534,8,468916,property_stolen_and_recovered
Nagaland,2006,Other heads of Property,6. Other Property,6,579750,3,7380,property_stolen_and_recovered
Odisha,2006,Other heads of Property,6. Other Property,93,2004759,10,12100,property_stolen_and_recovered
Puducherry,2006,Other heads of Property,6. Other Property,2,5000,1,4000,property_stolen_and_recovered
Punjab,2006,Other heads of Property,6. Other Property,715,64632630,711,64220875,property_stolen_and_recovered
Rajasthan,2006,Other heads of Property,6. Other Property,442,16076190,261,14847930,property_stolen_and_recovered
Sikkim,2006,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Tamil Nadu,2006,Other heads of Property,6. Other Property,160,5327720,135,3397030,property_stolen_and_recovered
Tripura,2006,Other heads of Property,6. Other Property,212,5562719,56,914744,property_stolen_and_recovered
Uttar Pradesh,2006,Other heads of Property,6. Other Property,364,67459510,363,460283457,property_stolen_and_recovered
Uttarakhand,2006,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
West Bengal,2006,Other heads of Property,6. Other Property,1466,157963244,744,24807456,property_stolen_and_recovered
Andaman & Nicobar Islands,2007,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Andhra Pradesh,2007,Other heads of Property,6. Other Property,254,10106418,180,6778955,property_stolen_and_recovered
Arunachal Pradesh,2007,Other heads of Property,6. Other Property,11,2685300,4,337278,property_stolen_and_recovered
Assam,2007,Other heads of Property,6. Other Property,6004,19121023,361,6710027,property_stolen_and_recovered
Bihar,2007,Other heads of Property,6. Other Property,658,6726001,303,1736766,property_stolen_and_recovered
Chandigarh,2007,Other heads of Property,6. Other Property,193,2056850,84,1276650,property_stolen_and_recovered
Chhattisgarh,2007,Other heads of Property,6. Other Property,142,33859629,96,10164727,property_stolen_and_recovered
Dadra & Nagar Haveli,2007,Other heads of Property,6. Other Property,10,9283740,6,817100,property_stolen_and_recovered
Daman & Diu,2007,Other heads of Property,6. Other Property,6,14190170,2,2500000,property_stolen_and_recovered
Delhi,2007,Other heads of Property,6. Other Property,3579,575442815,1103,7430712,property_stolen_and_recovered
Goa,2007,Other heads of Property,6. Other Property,36,17113459,4,800000,property_stolen_and_recovered
Gujarat,2007,Other heads of Property,6. Other Property,999,260363423,621,97197058,property_stolen_and_recovered
Haryana,2007,Other heads of Property,6. Other Property,941,43645570,598,40616070,property_stolen_and_recovered
Himachal Pradesh,2007,Other heads of Property,6. Other Property,75,5003543,28,1924282,property_stolen_and_recovered
Jammu & Kashmir,2007,Other heads of Property,6. Other Property,418,24082304,144,16184960,property_stolen_and_recovered
Jharkhand,2007,Other heads of Property,6. Other Property,188,2195421,33,235289,property_stolen_and_recovered
Karnataka,2007,Other heads of Property,6. Other Property,606,98303525,120,20537339,property_stolen_and_recovered
Kerala,2007,Other heads of Property,6. Other Property,2665,614644393,104,8630620,property_stolen_and_recovered
Lakshadweep,2007,Other heads of Property,6. Other Property,4,606600,0,0,property_stolen_and_recovered
Madhya Pradesh,2007,Other heads of Property,6. Other Property,798,49994761,321,34272324,property_stolen_and_recovered
Maharashtra,2007,Other heads of Property,6. Other Property,4578,3722992640,1931,219124280,property_stolen_and_recovered
Manipur,2007,Other heads of Property,6. Other Property,336,86479455,0,0,property_stolen_and_recovered
Meghalaya,2007,Other heads of Property,6. Other Property,32,3073649,14,580180,property_stolen_and_recovered
Mizoram,2007,Other heads of Property,6. Other Property,102,1913576,63,261375,property_stolen_and_recovered
Nagaland,2007,Other heads of Property,6. Other Property,8,378820,6,366020,property_stolen_and_recovered
Odisha,2007,Other heads of Property,6. Other Property,1203,7112169,90,1227450,property_stolen_and_recovered
Puducherry,2007,Other heads of Property,6. Other Property,3,63500,1,30000,property_stolen_and_recovered
Punjab,2007,Other heads of Property,6. Other Property,938,87114741,953,104360606,property_stolen_and_recovered
Rajasthan,2007,Other heads of Property,6. Other Property,946,14906304,491,14702380,property_stolen_and_recovered
Sikkim,2007,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Tamil Nadu,2007,Other heads of Property,6. Other Property,102,29492832,89,28857230,property_stolen_and_recovered
Tripura,2007,Other heads of Property,6. Other Property,20,616290,3,3000,property_stolen_and_recovered
Uttar Pradesh,2007,Other heads of Property,6. Other Property,556,32157305,543,43181964,property_stolen_and_recovered
Uttarakhand,2007,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
West Bengal,2007,Other heads of Property,6. Other Property,1889,183697256,501,40566051,property_stolen_and_recovered
Andaman & Nicobar Islands,2008,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Andhra Pradesh,2008,Other heads of Property,6. Other Property,663,15869126,462,11240147,property_stolen_and_recovered
Arunachal Pradesh,2008,Other heads of Property,6. Other Property,45,3065118,28,968788,property_stolen_and_recovered
Assam,2008,Other heads of Property,6. Other Property,1177,34446017,410,2440807,property_stolen_and_recovered
Bihar,2008,Other heads of Property,6. Other Property,1074,6880918,216,2395329,property_stolen_and_recovered
Chandigarh,2008,Other heads of Property,6. Other Property,220,1843350,105,927350,property_stolen_and_recovered
Chhattisgarh,2008,Other heads of Property,6. Other Property,150,39082066,81,2609081,property_stolen_and_recovered
Dadra & Nagar Haveli,2008,Other heads of Property,6. Other Property,24,8736993,13,43139,property_stolen_and_recovered
Daman & Diu,2008,Other heads of Property,6. Other Property,3,119945,1,2000,property_stolen_and_recovered
Delhi,2008,Other heads of Property,6. Other Property,2870,2136265505,833,10692781,property_stolen_and_recovered
Goa,2008,Other heads of Property,6. Other Property,70,24862812,1,90000,property_stolen_and_recovered
Gujarat,2008,Other heads of Property,6. Other Property,887,592715720,466,30324325,property_stolen_and_recovered
Haryana,2008,Other heads of Property,6. Other Property,986,88346009,713,77331388,property_stolen_and_recovered
Himachal Pradesh,2008,Other heads of Property,6. Other Property,72,6447364,10,508928,property_stolen_and_recovered
Jammu & Kashmir,2008,Other heads of Property,6. Other Property,202,4994228,104,2221628,property_stolen_and_recovered
Jharkhand,2008,Other heads of Property,6. Other Property,156,65180831,11,163278,property_stolen_and_recovered
Karnataka,2008,Other heads of Property,6. Other Property,503,183239049,124,13801698,property_stolen_and_recovered
Kerala,2008,Other heads of Property,6. Other Property,2329,949465280,71,12278375,property_stolen_and_recovered
Lakshadweep,2008,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2008,Other heads of Property,6. Other Property,569,30516184,261,11981693,property_stolen_and_recovered
Maharashtra,2008,Other heads of Property,6. Other Property,5195,6869549940,1865,169153533,property_stolen_and_recovered
Manipur,2008,Other heads of Property,6. Other Property,356,53132017,2,205000,property_stolen_and_recovered
Meghalaya,2008,Other heads of Property,6. Other Property,275,6725357,56,1249922,property_stolen_and_recovered
Mizoram,2008,Other heads of Property,6. Other Property,47,248375,31,212079,property_stolen_and_recovered
Nagaland,2008,Other heads of Property,6. Other Property,5,290100,3,157000,property_stolen_and_recovered
Odisha,2008,Other heads of Property,6. Other Property,90,30397944,37,328106,property_stolen_and_recovered
Puducherry,2008,Other heads of Property,6. Other Property,2,648000,2,648000,property_stolen_and_recovered
Punjab,2008,Other heads of Property,6. Other Property,1110,123509958,1206,131451059,property_stolen_and_recovered
Rajasthan,2008,Other heads of Property,6. Other Property,182,84676988,85,25080921,property_stolen_and_recovered
Sikkim,2008,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Tamil Nadu,2008,Other heads of Property,6. Other Property,105,9032620,98,7620130,property_stolen_and_recovered
Tripura,2008,Other heads of Property,6. Other Property,35,1236670,6,14500,property_stolen_and_recovered
Uttar Pradesh,2008,Other heads of Property,6. Other Property,264,30974385,251,28613191,property_stolen_and_recovered
Uttarakhand,2008,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
West Bengal,2008,Other heads of Property,6. Other Property,2363,248753009,762,34482235,property_stolen_and_recovered
Andaman & Nicobar Islands,2009,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Andhra Pradesh,2009,Other heads of Property,6. Other Property,435,18529965,314,10791957,property_stolen_and_recovered
Arunachal Pradesh,2009,Other heads of Property,6. Other Property,20,3686341,5,24090,property_stolen_and_recovered
Assam,2009,Other heads of Property,6. Other Property,763,6131307,251,5946862,property_stolen_and_recovered
Bihar,2009,Other heads of Property,6. Other Property,1068,6238416,316,1211610,property_stolen_and_recovered
Chandigarh,2009,Other heads of Property,6. Other Property,234,3171735,88,1761715,property_stolen_and_recovered
Chhattisgarh,2009,Other heads of Property,6. Other Property,155,34430697,114,3455856,property_stolen_and_recovered
Dadra & Nagar Haveli,2009,Other heads of Property,6. Other Property,20,22730924,13,675438,property_stolen_and_recovered
Daman & Diu,2009,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Delhi,2009,Other heads of Property,6. Other Property,2345,5259938376,988,22706337,property_stolen_and_recovered
Goa,2009,Other heads of Property,6. Other Property,40,59503271,6,493900,property_stolen_and_recovered
Gujarat,2009,Other heads of Property,6. Other Property,806,426017436,399,12177589,property_stolen_and_recovered
Haryana,2009,Other heads of Property,6. Other Property,1013,54588481,660,36929964,property_stolen_and_recovered
Himachal Pradesh,2009,Other heads of Property,6. Other Property,92,169516316,18,3134411,property_stolen_and_recovered
Jammu & Kashmir,2009,Other heads of Property,6. Other Property,176,11205249,73,5744842,property_stolen_and_recovered
Jharkhand,2009,Other heads of Property,6. Other Property,247,11102495,54,3994020,property_stolen_and_recovered
Karnataka,2009,Other heads of Property,6. Other Property,883,120128314,370,27564698,property_stolen_and_recovered
Kerala,2009,Other heads of Property,6. Other Property,2365,1932069078,264,23524130,property_stolen_and_recovered
Lakshadweep,2009,Other heads of Property,6. Other Property,44,2000000,8,200000,property_stolen_and_recovered
Madhya Pradesh,2009,Other heads of Property,6. Other Property,768,40897249,345,12779636,property_stolen_and_recovered
Maharashtra,2009,Other heads of Property,6. Other Property,5599,6529451820,2112,197492637,property_stolen_and_recovered
Manipur,2009,Other heads of Property,6. Other Property,213,87124859,15,46864870,property_stolen_and_recovered
Meghalaya,2009,Other heads of Property,6. Other Property,79,2657764,10,54020,property_stolen_and_recovered
Mizoram,2009,Other heads of Property,6. Other Property,35,2974949,27,385847,property_stolen_and_recovered
Nagaland,2009,Other heads of Property,6. Other Property,235,10853546,11,2807050,property_stolen_and_recovered
Odisha,2009,Other heads of Property,6. Other Property,155,2005631179,17,1466800,property_stolen_and_recovered
Puducherry,2009,Other heads of Property,6. Other Property,2,55000,2,55000,property_stolen_and_recovered
Punjab,2009,Other heads of Property,6. Other Property,1176,158140937,1253,225129746,property_stolen_and_recovered
Rajasthan,2009,Other heads of Property,6. Other Property,163,20878815,93,19567565,property_stolen_and_recovered
Sikkim,2009,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Tamil Nadu,2009,Other heads of Property,6. Other Property,111,35680580,96,22522840,property_stolen_and_recovered
Tripura,2009,Other heads of Property,6. Other Property,45,184900,4,80000,property_stolen_and_recovered
Uttar Pradesh,2009,Other heads of Property,6. Other Property,222,32643216,195,25674264,property_stolen_and_recovered
Uttarakhand,2009,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
West Bengal,2009,Other heads of Property,6. Other Property,2263,233499642,1048,55555560,property_stolen_and_recovered
Andaman & Nicobar Islands,2010,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Andhra Pradesh,2010,Other heads of Property,6. Other Property,840,19092260,96,7695160,property_stolen_and_recovered
Arunachal Pradesh,2010,Other heads of Property,6. Other Property,32,22043117,6,995920,property_stolen_and_recovered
Assam,2010,Other heads of Property,6. Other Property,474,15131265,105,4982729,property_stolen_and_recovered
Bihar,2010,Other heads of Property,6. Other Property,493,7947645,136,792981,property_stolen_and_recovered
Chandigarh,2010,Other heads of Property,6. Other Property,243,4040770,109,2512830,property_stolen_and_recovered
Chhattisgarh,2010,Other heads of Property,6. Other Property,183,39538454,101,9899802,property_stolen_and_recovered
Dadra & Nagar Haveli,2010,Other heads of Property,6. Other Property,18,15700213,9,726371,property_stolen_and_recovered
Daman & Diu,2010,Other heads of Property,6. Other Property,1,0,0,0,property_stolen_and_recovered
Delhi,2010,Other heads of Property,6. Other Property,2624,2206442274,1015,41903655,property_stolen_and_recovered
Goa,2010,Other heads of Property,6. Other Property,39,42276054,7,209800,property_stolen_and_recovered
Gujarat,2010,Other heads of Property,6. Other Property,720,1419805631,344,36179589,property_stolen_and_recovered
Haryana,2010,Other heads of Property,6. Other Property,1214,50782590,725,39807090,property_stolen_and_recovered
Himachal Pradesh,2010,Other heads of Property,6. Other Property,45,6821835,14,253281,property_stolen_and_recovered
Jammu & Kashmir,2010,Other heads of Property,6. Other Property,6,48400,6,34400,property_stolen_and_recovered
Jharkhand,2010,Other heads of Property,6. Other Property,428,9059363,96,5478349,property_stolen_and_recovered
Karnataka,2010,Other heads of Property,6. Other Property,964,241760506,380,35103094,property_stolen_and_recovered
Kerala,2010,Other heads of Property,6. Other Property,2590,1736686318,435,16092319,property_stolen_and_recovered
Lakshadweep,2010,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2010,Other heads of Property,6. Other Property,539,36911088,283,13637112,property_stolen_and_recovered
Maharashtra,2010,Other heads of Property,6. Other Property,6319,4924287590,2788,639564691,property_stolen_and_recovered
Manipur,2010,Other heads of Property,6. Other Property,156,36640648,4,520900,property_stolen_and_recovered
Meghalaya,2010,Other heads of Property,6. Other Property,27,10211350,8,2088045,property_stolen_and_recovered
Mizoram,2010,Other heads of Property,6. Other Property,89,4130193,69,3590368,property_stolen_and_recovered
Nagaland,2010,Other heads of Property,6. Other Property,272,127477897,25,3617770,property_stolen_and_recovered
Odisha,2010,Other heads of Property,6. Other Property,188,37664304,71,1739150,property_stolen_and_recovered
Puducherry,2010,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Punjab,2010,Other heads of Property,6. Other Property,1273,170875500,1353,275843347,property_stolen_and_recovered
Rajasthan,2010,Other heads of Property,6. Other Property,1568,37158031,1462,36603145,property_stolen_and_recovered
Sikkim,2010,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
Tamil Nadu,2010,Other heads of Property,6. Other Property,153,32797329,139,31084802,property_stolen_and_recovered
Tripura,2010,Other heads of Property,6. Other Property,129,3085108,9,75200,property_stolen_and_recovered
Uttar Pradesh,2010,Other heads of Property,6. Other Property,467,52327343,462,41235704,property_stolen_and_recovered
Uttarakhand,2010,Other heads of Property,6. Other Property,0,0,0,0,property_stolen_and_recovered
West Bengal,2010,Other heads of Property,6. Other Property,1900,1092202860,457,331606182,property_stolen_and_recovered
Andaman & Nicobar Islands,2001,Robbery - Property,2. Robbery,4,40000,2,2000,property_stolen_and_recovered
Andhra Pradesh,2001,Robbery - Property,2. Robbery,622,22872277,293,7149310,property_stolen_and_recovered
Arunachal Pradesh,2001,Robbery - Property,2. Robbery,84,2535439,30,1436973,property_stolen_and_recovered
Assam,2001,Robbery - Property,2. Robbery,687,16336928,146,3773502,property_stolen_and_recovered
Bihar,2001,Robbery - Property,2. Robbery,2201,51594151,441,12827627,property_stolen_and_recovered
Chandigarh,2001,Robbery - Property,2. Robbery,22,727030,15,539910,property_stolen_and_recovered
Chhattisgarh,2001,Robbery - Property,2. Robbery,338,4322038,183,1697760,property_stolen_and_recovered
Dadra & Nagar Haveli,2001,Robbery - Property,2. Robbery,2,682575,2,682575,property_stolen_and_recovered
Daman & Diu,2001,Robbery - Property,2. Robbery,0,0,0,0,property_stolen_and_recovered
Delhi,2001,Robbery - Property,2. Robbery,624,66339228,262,5933935,property_stolen_and_recovered
Goa,2001,Robbery - Property,2. Robbery,24,2045375,11,640780,property_stolen_and_recovered
Gujarat,2001,Robbery - Property,2. Robbery,953,40522333,412,14124938,property_stolen_and_recovered
Haryana,2001,Robbery - Property,2. Robbery,391,38952335,276,26308703,property_stolen_and_recovered
Himachal Pradesh,2001,Robbery - Property,2. Robbery,26,1864105,13,1179562,property_stolen_and_recovered
Jammu & Kashmir,2001,Robbery - Property,2. Robbery,161,10121303,40,5111430,property_stolen_and_recovered
Jharkhand,2001,Robbery - Property,2. Robbery,469,12858130,109,2759884,property_stolen_and_recovered
Karnataka,2001,Robbery - Property,2. Robbery,847,30204787,382,11218599,property_stolen_and_recovered
Kerala,2001,Robbery - Property,2. Robbery,472,15196285,209,7242012,property_stolen_and_recovered
Lakshadweep,2001,Robbery - Property,2. Robbery,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2001,Robbery - Property,2. Robbery,1764,49184881,1003,25960868,property_stolen_and_recovered
Maharashtra,2001,Robbery - Property,2. Robbery,2175,153330905,1200,43271048,property_stolen_and_recovered
Manipur,2001,Robbery - Property,2. Robbery,19,2390134,3,700000,property_stolen_and_recovered
Meghalaya,2001,Robbery - Property,2. Robbery,125,2758872,20,434700,property_stolen_and_recovered
Mizoram,2001,Robbery - Property,2. Robbery,11,795120,5,588220,property_stolen_and_recovered
Nagaland,2001,Robbery - Property,2. Robbery,71,8088871,17,1700680,property_stolen_and_recovered
Odisha,2001,Robbery - Property,2. Robbery,950,25937159,494,7436388,property_stolen_and_recovered
Puducherry,2001,Robbery - Property,2. Robbery,4,346750,3,304750,property_stolen_and_recovered
Punjab,2001,Robbery - Property,2. Robbery,131,11610516,80,2312303,property_stolen_and_recovered
Rajasthan,2001,Robbery - Property,2. Robbery,752,40020195,457,29511059,property_stolen_and_recovered
Sikkim,2001,Robbery - Property,2. Robbery,2,3600,1,600,property_stolen_and_recovered
Tamil Nadu,2001,Robbery - Property,2. Robbery,670,30834377,456,13196427,property_stolen_and_recovered
Tripura,2001,Robbery - Property,2. Robbery,63,697030,6,13650,property_stolen_and_recovered
Uttar Pradesh,2001,Robbery - Property,2. Robbery,3090,180684922,1216,72522868,property_stolen_and_recovered
Uttarakhand,2001,Robbery - Property,2. Robbery,191,6580931,73,2195628,property_stolen_and_recovered
West Bengal,2001,Robbery - Property,2. Robbery,660,26486786,199,8666704,property_stolen_and_recovered
Andaman & Nicobar Islands,2002,Robbery - Property,2. Robbery,7,49300,6,39350,property_stolen_and_recovered
Andhra Pradesh,2002,Robbery - Property,2. Robbery,635,19471642,294,7182440,property_stolen_and_recovered
Arunachal Pradesh,2002,Robbery - Property,2. Robbery,96,2330807,21,761480,property_stolen_and_recovered
Assam,2002,Robbery - Property,2. Robbery,607,13045262,168,3675228,property_stolen_and_recovered
Bihar,2002,Robbery - Property,2. Robbery,2287,54116436,422,12998075,property_stolen_and_recovered
Chandigarh,2002,Robbery - Property,2. Robbery,26,550841,18,251775,property_stolen_and_recovered
Chhattisgarh,2002,Robbery - Property,2. Robbery,326,8264774,182,2813675,property_stolen_and_recovered
Dadra & Nagar Haveli,2002,Robbery - Property,2. Robbery,1,282000,0,0,property_stolen_and_recovered
Daman & Diu,2002,Robbery - Property,2. Robbery,1,16000,0,0,property_stolen_and_recovered
Delhi,2002,Robbery - Property,2. Robbery,502,54816824,378,5050032,property_stolen_and_recovered
Goa,2002,Robbery - Property,2. Robbery,22,410810,11,170410,property_stolen_and_recovered
Gujarat,2002,Robbery - Property,2. Robbery,1069,50444547,454,12152390,property_stolen_and_recovered
Haryana,2002,Robbery - Property,2. Robbery,330,50342798,249,33922016,property_stolen_and_recovered
Himachal Pradesh,2002,Robbery - Property,2. Robbery,15,1071889,6,447385,property_stolen_and_recovered
Jammu & Kashmir,2002,Robbery - Property,2. Robbery,163,7267872,35,2296950,property_stolen_and_recovered
Jharkhand,2002,Robbery - Property,2. Robbery,780,32622977,181,3638064,property_stolen_and_recovered
Karnataka,2002,Robbery - Property,2. Robbery,972,41269439,481,24363079,property_stolen_and_recovered
Kerala,2002,Robbery - Property,2. Robbery,590,22038343,243,6487034,property_stolen_and_recovered
Lakshadweep,2002,Robbery - Property,2. Robbery,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2002,Robbery - Property,2. Robbery,1829,57782600,1027,34598627,property_stolen_and_recovered
Maharashtra,2002,Robbery - Property,2. Robbery,2091,149006609,1076,45786648,property_stolen_and_recovered
Manipur,2002,Robbery - Property,2. Robbery,6,29590,0,0,property_stolen_and_recovered
Meghalaya,2002,Robbery - Property,2. Robbery,109,3251058,20,1197902,property_stolen_and_recovered
Mizoram,2002,Robbery - Property,2. Robbery,7,60300,4,10300,property_stolen_and_recovered
Nagaland,2002,Robbery - Property,2. Robbery,108,8262108,31,695100,property_stolen_and_recovered
Odisha,2002,Robbery - Property,2. Robbery,934,27674656,507,12824154,property_stolen_and_recovered
Puducherry,2002,Robbery - Property,2. Robbery,6,422500,4,419000,property_stolen_and_recovered
Punjab,2002,Robbery - Property,2. Robbery,110,22285131,85,8414860,property_stolen_and_recovered
Rajasthan,2002,Robbery - Property,2. Robbery,637,52670735,385,42233688,property_stolen_and_recovered
Sikkim,2002,Robbery - Property,2. Robbery,4,340000,3,221000,property_stolen_and_recovered
Tamil Nadu,2002,Robbery - Property,2. Robbery,651,27693907,480,16282971,property_stolen_and_recovered
Tripura,2002,Robbery - Property,2. Robbery,56,563926,11,46994,property_stolen_and_recovered
Uttar Pradesh,2002,Robbery - Property,2. Robbery,2232,129946060,1003,78069816,property_stolen_and_recovered
Uttarakhand,2002,Robbery - Property,2. Robbery,161,6573445,71,1579170,property_stolen_and_recovered
West Bengal,2002,Robbery - Property,2. Robbery,544,26993643,195,8759272,property_stolen_and_recovered
Andaman & Nicobar Islands,2003,Robbery - Property,2. Robbery,7,345920,6,162350,property_stolen_and_recovered
Andhra Pradesh,2003,Robbery - Property,2. Robbery,640,22343329,326,7626468,property_stolen_and_recovered
Arunachal Pradesh,2003,Robbery - Property,2. Robbery,60,1282310,13,229759,property_stolen_and_recovered
Assam,2003,Robbery - Property,2. Robbery,523,16001672,117,4226116,property_stolen_and_recovered
Bihar,2003,Robbery - Property,2. Robbery,2463,58856998,339,9698161,property_stolen_and_recovered
Chandigarh,2003,Robbery - Property,2. Robbery,12,750340,8,632340,property_stolen_and_recovered
Chhattisgarh,2003,Robbery - Property,2. Robbery,331,8703914,174,3282493,property_stolen_and_recovered
Dadra & Nagar Haveli,2003,Robbery - Property,2. Robbery,6,337200,6,334000,property_stolen_and_recovered
Daman & Diu,2003,Robbery - Property,2. Robbery,1,0,0,0,property_stolen_and_recovered
Delhi,2003,Robbery - Property,2. Robbery,441,40780214,350,4116700,property_stolen_and_recovered
Goa,2003,Robbery - Property,2. Robbery,21,871350,11,79510,property_stolen_and_recovered
Gujarat,2003,Robbery - Property,2. Robbery,1241,48163574,508,16642701,property_stolen_and_recovered
Haryana,2003,Robbery - Property,2. Robbery,281,35450325,216,21237086,property_stolen_and_recovered
Himachal Pradesh,2003,Robbery - Property,2. Robbery,17,1817690,8,853710,property_stolen_and_recovered
Jammu & Kashmir,2003,Robbery - Property,2. Robbery,154,10230764,43,4026030,property_stolen_and_recovered
Jharkhand,2003,Robbery - Property,2. Robbery,808,17199569,214,4350709,property_stolen_and_recovered
Karnataka,2003,Robbery - Property,2. Robbery,861,25799254,426,11495351,property_stolen_and_recovered
