state,year,crime_group,crime_subgroup,cases_stolen,value_stolen,cases_recovered,value_recovered,source_dataset
Daman & Diu,2003,Burglary - Property,3. Burglary,41,1419192,5,141411,property_stolen_and_recovered
Delhi,2003,Burglary - Property,3. Burglary,1898,84069640,758,4268081,property_stolen_and_recovered
Goa,2003,Burglary - Property,3. Burglary,244,10457254,109,2170727,property_stolen_and_recovered
Gujarat,2003,Burglary - Property,3. Burglary,5684,186884277,1334,27303140,property_stolen_and_recovered
Haryana,2003,Burglary - Property,3. Burglary,2967,68528246,1411,35400318,property_stolen_and_recovered
Himachal Pradesh,2003,Burglary - Property,3. Burglary,645,13237009,105,1556198,property_stolen_and_recovered
Jammu & Kashmir,2003,Burglary - Property,3. Burglary,1526,40211927,224,5203336,property_stolen_and_recovered
Jharkhand,2003,Burglary - Property,3. Burglary,1374,10735942,192,1175731,property_stolen_and_recovered
Karnataka,2003,Burglary - Property,3. Burglary,6049,147855476,1530,36028899,property_stolen_and_recovered
Kerala,2003,Burglary - Property,3. Burglary,4164,136448825,1053,18605342,property_stolen_and_recovered
Lakshadweep,2003,Burglary - Property,3. Burglary,6,65000,0,0,property_stolen_and_recovered
Madhya Pradesh,2003,Burglary - Property,3. Burglary,12641,155291507,3589,29830876,property_stolen_and_recovered
Maharashtra,2003,Burglary - Property,3. Burglary,13202,635796246,3766,65230975,property_stolen_and_recovered
Manipur,2003,Burglary - Property,3. Burglary,68,3049066,1,1800,property_stolen_and_recovered
Meghalaya,2003,Burglary - Property,3. Burglary,160,75269392,13,156430,property_stolen_and_recovered
Mizoram,2003,Burglary - Property,3. Burglary,487,4920998,268,3079379,property_stolen_and_recovered
Nagaland,2003,Burglary - Property,3. Burglary,82,2172262,19,603404,property_stolen_and_recovered
Odisha,2003,Burglary - Property,3. Burglary,2910,48730506,1231,13996401,property_stolen_and_recovered
Puducherry,2003,Burglary - Property,3. Burglary,126,6744373,56,1679750,property_stolen_and_recovered
Punjab,2003,Burglary - Property,3. Burglary,2094,86923821,797,19620531,property_stolen_and_recovered
Rajasthan,2003,Burglary - Property,3. Burglary,5779,129565091,1588,50150183,property_stolen_and_recovered
Sikkim,2003,Burglary - Property,3. Burglary,48,1546492,7,318439,property_stolen_and_recovered
Tamil Nadu,2003,Burglary - Property,3. Burglary,4849,111017636,2877,55816582,property_stolen_and_recovered
Tripura,2003,Burglary - Property,3. Burglary,167,2391169,19,246425,property_stolen_and_recovered
Uttar Pradesh,2003,Burglary - Property,3. Burglary,2928,190722347,752,142320613,property_stolen_and_recovered
Uttarakhand,2003,Burglary - Property,3. Burglary,513,11715052,122,3045988,property_stolen_and_recovered
West Bengal,2003,Burglary - Property,3. Burglary,342,11762330,101,2966663,property_stolen_and_recovered
Andaman & Nicobar Islands,2004,Burglary - Property,3. Burglary,69,3208951,30,1779879,property_stolen_and_recovered
Andhra Pradesh,2004,Burglary - Property,3. Burglary,8041,216381714,3451,61730107,property_stolen_and_recovered
Arunachal Pradesh,2004,Burglary - Property,3. Burglary,215,6750572,41,1129291,property_stolen_and_recovered
Assam,2004,Burglary - Property,3. Burglary,2544,46224544,414,6262774,property_stolen_and_recovered
Bihar,2004,Burglary - Property,3. Burglary,3175,24846468,277,2380067,property_stolen_and_recovered
Chandigarh,2004,Burglary - Property,3. Burglary,186,11436390,75,1438860,property_stolen_and_recovered
Chhattisgarh,2004,Burglary - Property,3. Burglary,3720,40581456,1151,6060825,property_stolen_and_recovered
Dadra & Nagar Haveli,2004,Burglary - Property,3. Burglary,20,1038871,5,350014,property_stolen_and_recovered
Daman & Diu,2004,Burglary - Property,3. Burglary,35,2489725,8,99100,property_stolen_and_recovered
Delhi,2004,Burglary - Property,3. Burglary,1875,133196885,772,3181843,property_stolen_and_recovered
Goa,2004,Burglary - Property,3. Burglary,245,14288368,81,2210814,property_stolen_and_recovered
Gujarat,2004,Burglary - Property,3. Burglary,5670,211383452,1308,34432089,property_stolen_and_recovered
Haryana,2004,Burglary - Property,3. Burglary,2779,67073579,1245,32863180,property_stolen_and_recovered
Himachal Pradesh,2004,Burglary - Property,3. Burglary,722,20825219,148,4852642,property_stolen_and_recovered
Jammu & Kashmir,2004,Burglary - Property,3. Burglary,1420,34785380,235,8519470,property_stolen_and_recovered
Jharkhand,2004,Burglary - Property,3. Burglary,1419,10289240,220,1208261,property_stolen_and_recovered
Karnataka,2004,Burglary - Property,3. Burglary,6093,174253060,1695,50828582,property_stolen_and_recovered
Kerala,2004,Burglary - Property,3. Burglary,4359,151987763,1126,26572753,property_stolen_and_recovered
Lakshadweep,2004,Burglary - Property,3. Burglary,2,2160,0,0,property_stolen_and_recovered
Madhya Pradesh,2004,Burglary - Property,3. Burglary,12130,145505628,3943,33345035,property_stolen_and_recovered
Maharashtra,2004,Burglary - Property,3. Burglary,13896,544644465,3952,141098005,property_stolen_and_recovered
Manipur,2004,Burglary - Property,3. Burglary,66,2760756,6,851177,property_stolen_and_recovered
Meghalaya,2004,Burglary - Property,3. Burglary,130,1991361,19,245154,property_stolen_and_recovered
Mizoram,2004,Burglary - Property,3. Burglary,250,758220,180,575000,property_stolen_and_recovered
Nagaland,2004,Burglary - Property,3. Burglary,52,1246138,13,140245,property_stolen_and_recovered
Odisha,2004,Burglary - Property,3. Burglary,2990,52807227,1127,13227198,property_stolen_and_recovered
Puducherry,2004,Burglary - Property,3. Burglary,86,2828010,48,1419510,property_stolen_and_recovered
Punjab,2004,Burglary - Property,3. Burglary,1766,91624075,666,16682669,property_stolen_and_recovered
Rajasthan,2004,Burglary - Property,3. Burglary,5619,108989033,1588,39415095,property_stolen_and_recovered
Sikkim,2004,Burglary - Property,3. Burglary,64,1054933,12,397673,property_stolen_and_recovered
Tamil Nadu,2004,Burglary - Property,3. Burglary,4147,124839785,2679,76752113,property_stolen_and_recovered
Tripura,2004,Burglary - Property,3. Burglary,166,4918835,36,1348165,property_stolen_and_recovered
Uttar Pradesh,2004,Burglary - Property,3. Burglary,4192,173330606,972,99202552,property_stolen_and_recovered
Uttarakhand,2004,Burglary - Property,3. Burglary,516,14665091,100,3700267,property_stolen_and_recovered
West Bengal,2004,Burglary - Property,3. Burglary,547,12198178,129,3076728,property_stolen_and_recovered
Andaman & Nicobar Islands,2005,Burglary - Property,3. Burglary,68,3418391,25,705419,property_stolen_and_recovered
Andhra Pradesh,2005,Burglary - Property,3. Burglary,7894,240127856,3578,92930221,property_stolen_and_recovered
Arunachal Pradesh,2005,Burglary - Property,3. Burglary,263,7275247,56,1185696,property_stolen_and_recovered
Assam,2005,Burglary - Property,3. Burglary,2255,29458429,523,7068609,property_stolen_and_recovered
Bihar,2005,Burglary - Property,3. Burglary,3117,34869204,311,3584517,property_stolen_and_recovered
Chandigarh,2005,Burglary - Property,3. Burglary,223,7108230,105,2806616,property_stolen_and_recovered
Chhattisgarh,2005,Burglary - Property,3. Burglary,3621,51741764,1186,11063089,property_stolen_and_recovered
Dadra & Nagar Haveli,2005,Burglary - Property,3. Burglary,25,6257250,9,5162150,property_stolen_and_recovered
Daman & Diu,2005,Burglary - Property,3. Burglary,37,2514680,5,365000,property_stolen_and_recovered
Delhi,2005,Burglary - Property,3. Burglary,2093,198019747,871,8172281,property_stolen_and_recovered
Goa,2005,Burglary - Property,3. Burglary,257,13803082,71,1909368,property_stolen_and_recovered
Gujarat,2005,Burglary - Property,3. Burglary,5140,254373304,1188,67616775,property_stolen_and_recovered
Haryana,2005,Burglary - Property,3. Burglary,3425,81885034,1527,42714747,property_stolen_and_recovered
Himachal Pradesh,2005,Burglary - Property,3. Burglary,691,22867849,136,4125018,property_stolen_and_recovered
Jammu & Kashmir,2005,Burglary - Property,3. Burglary,1397,36077553,209,4920818,property_stolen_and_recovered
Jharkhand,2005,Burglary - Property,3. Burglary,1600,39496852,259,2045450,property_stolen_and_recovered
Karnataka,2005,Burglary - Property,3. Burglary,5986,261321837,1688,59175016,property_stolen_and_recovered
Kerala,2005,Burglary - Property,3. Burglary,3914,187698662,939,18941597,property_stolen_and_recovered
Lakshadweep,2005,Burglary - Property,3. Burglary,2,20410,1,8410,property_stolen_and_recovered
Madhya Pradesh,2005,Burglary - Property,3. Burglary,11192,154604344,3607,43951572,property_stolen_and_recovered
Maharashtra,2005,Burglary - Property,3. Burglary,14735,619891309,4058,99149466,property_stolen_and_recovered
Manipur,2005,Burglary - Property,3. Burglary,62,3075030,3,95970,property_stolen_and_recovered
Meghalaya,2005,Burglary - Property,3. Burglary,137,1263497,19,186546,property_stolen_and_recovered
Mizoram,2005,Burglary - Property,3. Burglary,442,14738682,289,9467342,property_stolen_and_recovered
Nagaland,2005,Burglary - Property,3. Burglary,93,1278742,17,545015,property_stolen_and_recovered
Odisha,2005,Burglary - Property,3. Burglary,3029,61917823,1308,14704375,property_stolen_and_recovered
Puducherry,2005,Burglary - Property,3. Burglary,67,2103597,42,1183747,property_stolen_and_recovered
Punjab,2005,Burglary - Property,3. Burglary,1933,98977795,922,38668978,property_stolen_and_recovered
Rajasthan,2005,Burglary - Property,3. Burglary,5003,116980671,1657,46405671,property_stolen_and_recovered
Sikkim,2005,Burglary - Property,3. Burglary,79,1518042,13,150690,property_stolen_and_recovered
Tamil Nadu,2005,Burglary - Property,3. Burglary,3738,94231495,2568,54017794,property_stolen_and_recovered
Tripura,2005,Burglary - Property,3. Burglary,170,4725332,31,1295865,property_stolen_and_recovered
